ЗВІТ СТРУКТУРИ ДАНИХ YAKABOO
Всього перевірено товарів: 972,266
============================================================
ПОЛЕ (KEY)                          | КІЛЬКІСТЬ  | ПОКРИТТЯ %
gift_packing_label                  | 2,725      | 0.28%
gift_packing                        | 2,725      | 0.28%
colored                             | 2,542      | 0.26%
gift_organiser                      | 2,174      | 0.22%
notebooks_cover_label               | 2,123      | 0.22%
notebooks_cover                     | 2,123      | 0.22%
gift_organiser_label                | 2,109      | 0.22%
notebook_size_label                 | 2,087      | 0.21%
notebook_size                       | 2,087      | 0.21%
children_packing_size_label         | 2,037      | 0.21%
children_packing_size               | 2,037      | 0.21%
tourism_wear_label                  | 2,002      | 0.21%
tourism_wear                        | 2,002      | 0.21%
children_lang_label                 | 1,997      | 0.21%
children_lang                       | 1,997      | 0.21%
book_literature_label               | 1,969      | 0.20%
book_literature                     | 1,969      | 0.20%
boardgame_type_label                | 1,789      | 0.18%
boardgame_type                      | 1,789      | 0.18%
tea_sort_label                      | 1,655      | 0.17%
tea_sort                            | 1,655      | 0.17%
boardgame_mode_label                | 1,633      | 0.17%
boardgame_mode                      | 1,633      | 0.17%
gift_event_label                    | 1,601      | 0.16%
gift_event                          | 1,601      | 0.16%
boardgame_players_label             | 1,588      | 0.16%
boardgame_players                   | 1,588      | 0.16%
gift_color_pages_label              | 1,554      | 0.16%
gift_color_pages                    | 1,554      | 0.16%
notebook_sheets_label               | 1,501      | 0.15%
notebook_sheets                     | 1,501      | 0.15%
gift_subjects_label                 | 1,332      | 0.14%
gift_subjects                       | 1,332      | 0.14%
children_series_label               | 1,253      | 0.13%
children_series                     | 1,253      | 0.13%
book_type_label                     | 1,169      | 0.12%
book_type                           | 1,169      | 0.12%
book_whom_label                     | 1,163      | 0.12%
book_whom                           | 1,163      | 0.12%
book_style_label                    | 1,157      | 0.12%
book_style                          | 1,157      | 0.12%
book_occasion_label                 | 1,155      | 0.12%
book_occasion                       | 1,155      | 0.12%
notebook_format_label               | 1,076      | 0.11%
notebook_format                     | 1,076      | 0.11%
boardgame_element                   | 997        | 0.10%
children_weight_label               | 984        | 0.10%
children_weight                     | 984        | 0.10%
pen_type_label                      | 948        | 0.10%
pen_type                            | 948        | 0.10%
mediagallery_video                  | 911        | 0.09%
children_elems_count_label          | 904        | 0.09%
children_elems_count                | 904        | 0.09%
gift_weight_label                   | 768        | 0.08%
gift_weight                         | 768        | 0.08%
downloadable_product_samples        | 717        | 0.07%
pen_housing_label                   | 639        | 0.07%
pen_housing                         | 639        | 0.07%
pen_ink_label                       | 573        | 0.06%
pen_ink                             | 573        | 0.06%
gift_type                           | 539        | 0.06%
tourism_typemats_label              | 475        | 0.05%
tourism_typemats                    | 475        | 0.05%
book_box_binding_label              | 460        | 0.05%
book_box_binding                    | 460        | 0.05%
book_author_former_label            | 335        | 0.03%
book_author_former                  | 335        | 0.03%
pen_thickness_label                 | 299        | 0.03%
pen_thickness                       | 299        | 0.03%
boardgame_difficulty_label          | 277        | 0.03%
boardgame_difficulty                | 277        | 0.03%
gift_packing_size_label             | 277        | 0.03%
gift_packing_size                   | 277        | 0.03%
boardgame_pro_label                 | 246        | 0.03%
boardgame_pro                       | 246        | 0.03%
boardgame_mindbreaker_label         | 243        | 0.02%
boardgame_mindbreaker               | 243        | 0.02%
boardgame_rubik_label               | 125        | 0.01%
boardgame_rubik                     | 125        | 0.01%
boardgame_size_label                | 97         | 0.01%
boardgame_size                      | 97         | 0.01%
validity_rights_date                | 76         | 0.01%
book_seria_former_label             | 41         | 0.00%
book_seria_former                   | 41         | 0.00%
book_salary_label                   | 35         | 0.00%
book_salary                         | 35         | 0.00%
tourism_usefulthingstype_label      | 25         | 0.00%
tourism_usefulthingstype            | 25         | 0.00%
book_description_nouniq_label       | 14         | 0.00%
book_description_nouniq             | 14         | 0.00%
tourism_stuffbags_label             | 4          | 0.00%
tourism_stuffbags                   | 4          | 0.00%
is_certificate                      | 4          | 0.00%
children_scale_label                | 2          | 0.00%
children_scale                      | 2          | 0.00%
custom_options                      | 2          | 0.00%
is_exclusive                        | 1          | 0.00%
cards_quantity_label                | 1          | 0.00%
cards_quantity                      | 1          | 0.00%
