ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
boardgame_size_label[].label                       |    0.0%  | str             | 4х4; 3х3; 7х7
boardgame_size_label[].option_code                 |    0.0%  | str             | 4h4; 3h3; 7h7
boardgame_size_label[].option_id                   |    0.0%  | str             | 772676; 772675; 777610
boardgame_size_label[].sort_order                  |    0.0%  | str             | 3; 2; 100
boardgame_size_label[].url_path                    |    0.0%  | null            | 
boardgame_subjects                                 |    0.3%  | list            | 
boardgame_subjects_label                           |    0.3%  | list            | 
boardgame_subjects_label[].attribute_id            |    0.4%  | str             | 4121
boardgame_subjects_label[].attribute_label         |    0.4%  | str             | Тематика
boardgame_subjects_label[].label                   |    0.4%  | str             | Города и страны; Животные; Абстракция
boardgame_subjects_label[].option_code             |    0.4%  | str             | Goroda_i_strany; Zhivotnye; abstrakcija
boardgame_subjects_label[].option_id               |    0.4%  | str             | 772646; 772647; 887658
boardgame_subjects_label[].sort_order              |    0.4%  | str             | 6; 5; 3
boardgame_subjects_label[].url_path                |    0.4%  | null            | 
boardgame_type                                     |    0.2%  | list            | 
boardgame_type_label                               |    0.2%  | list            | 
boardgame_type_label[].attribute_id                |    0.3%  | str             | 4118
boardgame_type_label[].attribute_label             |    0.3%  | str             | Тип
boardgame_type_label[].label                       |    0.3%  | str             | Развивающие; Ходилки; Семейные
boardgame_type_label[].option_code                 |    0.3%  | str             | Razvivajuschie; Hodilki; Semejnye
boardgame_type_label[].option_id                   |    0.3%  | str             | 772625; 772618; 772620
boardgame_type_label[].sort_order                  |    0.3%  | str             | 100
boardgame_type_label[].url_path                    |    0.3%  | null            | 
book_author_former                                 |    0.0%  | list            | 
book_author_former_label                           |    0.0%  | list            | 
book_author_former_label[].attribute_id            |    0.0%  | str             | 2943
book_author_former_label[].attribute_label         |    0.0%  | str             | Автор-составитель
book_author_former_label[].label                   |    0.0%  | str             | Наталия Лебеденко; Венди Коуп; Э. Ф. Гаррольд
book_author_former_label[].option_code             |    0.0%  | str             | Natalija_Lebedenko; vendi-koup-wendy-cope-1182491; Je_F_Garrol_d
book_author_former_label[].option_id               |    0.0%  | str             | 881219; 1182491; 860604
book_author_former_label[].sort_order              |    0.0%  | str             | 100; 0
book_author_former_label[].url_path                |    0.0%  | str, null       | book_painter/view/zenovij-zherebeckij-765818; author/view/jurij-mitrofanenko
book_binding                                       |   89.1%  | str             | 145х200 мм; 178x254 мм; 156x235 мм
book_binding_label                                 |   89.1%  | list            | 
book_binding_label[].attribute_label               |   89.1%  | str             | Формат
book_binding_label[].label                         |   89.1%  | str             | 145х200 мм; 178x254 мм; 156x235 мм
book_binding_type                                  |   96.8%  | list            | 
book_binding_type_label                            |   96.8%  | list            | 
book_binding_type_label[].attribute_id             |   97.3%  | str             | 2945
book_binding_type_label[].attribute_label          |   97.3%  | str             | Тип обложки
book_binding_type_label[].label                    |   97.3%  | str             | Мягкий; Твердый; Коробка
book_binding_type_label[].option_code              |   97.3%  | str             | Mjagkij; Tverdyj; Korobka
book_binding_type_label[].option_id                |   97.3%  | str             | 332270; 332541; 343350
book_binding_type_label[].sort_order               |   97.3%  | str             | 0; 1; 100
book_binding_type_label[].url_path                 |   97.3%  | null            | 
book_box_binding                                   |    0.0%  | str             | 260x345x35 мм; 235x315x33мм; 250х180х60 мм
book_box_binding_label                             |    0.0%  | list            | 
book_box_binding_label[].attribute_label           |    0.0%  | str             | Формат бокса
book_box_binding_label[].label                     |    0.0%  | str             | 260x345x35 мм; 235x315x33мм; 250х180х60 мм
book_circulation                                   |    2.2%  | str             | 2000; 1000; 300
book_circulation_label                             |    2.2%  | list            | 
book_circulation_label[].attribute_label           |    2.2%  | str             | Тираж
book_circulation_label[].label                     |    2.2%  | str             | 2000; 1000; 300
book_class                                         |    1.5%  | list            | 
book_class_label                                   |    1.5%  | list            | 
book_class_label[].attribute_id                    |    2.0%  | str             | 3570
book_class_label[].attribute_label                 |    2.0%  | str             | Класс
book_class_label[].label                           |    2.0%  | str             | 8-й класс; 10-й класс; 6-й класс
book_class_label[].option_code                     |    2.0%  | str             | 8_j_klass; 10_j_klass; 6_j_klass
book_class_label[].option_id                       |    2.0%  | str             | 715231; 715233; 715229
book_class_label[].sort_order                      |    2.0%  | str             | 8; 10; 6
book_class_label[].url_path                        |    2.0%  | null            | 
book_country                                       |    3.6%  | list            | 
book_description_nouniq                            |    0.0%  | str             |  ; У роботі над книжкою Філіп К. Дік використав св...; ,
book_description_nouniq_label                      |    0.0%  | list            | 
book_description_nouniq_label[].attribute_label    |    0.0%  | str             | Знаете ли вы что
book_description_nouniq_label[].label              |    0.0%  | str             |  ; У роботі над книжкою Філіп К. Дік використав св...; ,
book_edition                                       |    0.4%  | str             | 3-е ; 2-е ; 2-е
book_edition_label                                 |    0.4%  | list            | 
book_edition_label[].attribute_label               |    0.4%  | str             | Видання
book_edition_label[].label                         |    0.4%  | str             | 3-е ; 2-е ; 2-е
book_editor                                        |    0.5%  | list            | 
book_editor_label                                  |    0.5%  | list            | 
book_editor_label[].attribute_id                   |    0.6%  | str             | 2951
book_editor_label[].attribute_label                |    0.6%  | str             | Под редакцией
book_editor_label[].label                          |    0.6%  | str             | Эстер Руэлфс; Тулга Бейерле; Виктория Хайнрих
book_editor_label[].option_code                    |    0.6%  | str             | jester-rujelfs-ester-ruel-fs-esther-ruelfs; tulga-bejerle; viktorija-hajnrih
book_editor_label[].option_id                      |    0.6%  | str             | 1545529; 1545534; 1545535
book_editor_label[].sort_order                     |    0.6%  | str             | 199; 0; 100
