ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
children_article_label[].label                     |    0.8%  | str             | 10100625У; 10100623У; 10100626У
children_brand                                     |    0.8%  | list            | 
children_brand_label                               |    0.8%  | list            | 
children_brand_label[].attribute_id                |    0.8%  | str             | 2906
children_brand_label[].attribute_label             |    0.8%  | str             | Бренд
children_brand_label[].label                       |    0.8%  | str             | Ranok-Creative; Кенгуру; Зірка
children_brand_label[].option_code                 |    0.8%  | str             | Ranok_Creative_Ranok_Creative; Kenguru; Zirka
children_brand_label[].option_id                   |    0.8%  | str             | 431555; 804335; 714821
children_brand_label[].sort_order                  |    0.8%  | str             | 100; 1; 0
children_brand_label[].url_path                    |    0.8%  | str             | children_brand/view/Ranok_Creative_Ranok_Creative; children_brand/view/Kenguru; children_brand/view/Zirka
children_elems_count                               |    0.1%  | str             | 25; 1000; 48
children_elems_count_label                         |    0.1%  | list            | 
children_elems_count_label[].attribute_label       |    0.1%  | str             | Количество элементов
children_elems_count_label[].label                 |    0.1%  | str             | 25; 1000; 48
children_lang                                      |    0.2%  | list            | 
children_lang_label                                |    0.2%  | list            | 
children_lang_label[].attribute_id                 |    0.2%  | str             | 2910
children_lang_label[].attribute_label              |    0.2%  | str             | Язык
children_lang_label[].label                        |    0.2%  | str             | Украинский; Английский; Немецкий
children_lang_label[].option_code                  |    0.2%  | str             | Ukrainskij; Anglijskij; Nemeckij
children_lang_label[].option_id                    |    0.2%  | str             | 430748; 431004; 431437
children_lang_label[].sort_order                   |    0.2%  | str             | 100
children_lang_label[].url_path                     |    0.2%  | null            | 
children_packing                                   |    0.6%  | list            | 
children_packing_size                              |    0.2%  | str             | 265х131х2 мм; 190х120х10 мм; 90х150х15 мм
children_packing_size_label                        |    0.2%  | list            | 
children_packing_size_label[].attribute_label      |    0.2%  | str             | Размер упаковки
children_packing_size_label[].label                |    0.2%  | str             | 265х131х2 мм; 190х120х10 мм; 90х150х15 мм
children_scale                                     |    0.0%  | str             | 1:144; 1:110
children_scale_label                               |    0.0%  | list            | 
children_scale_label[].attribute_label             |    0.0%  | str             | Масштаб
children_scale_label[].label                       |    0.0%  | str             | 1:144; 1:110
children_series                                    |    0.1%  | list            | 
children_series_label                              |    0.1%  | list            | 
children_series_label[].attribute_id               |    0.1%  | str             | 2914
children_series_label[].attribute_label            |    0.1%  | str             | Серия игрушек
children_series_label[].label                      |    0.1%  | str             | Одягалка Fashion Look; Чарівний світ; Create & Play
children_series_label[].option_code                |    0.1%  | str             | odjagalka-fashion-look; charivnij-svit; create-play
children_series_label[].option_id                  |    0.1%  | str             | 904046; 906907; 905006
children_series_label[].sort_order                 |    0.1%  | str             | 0; 100; 4
children_series_label[].url_path                   |    0.1%  | str             | children_series/view/odjagalka-fashion-look; children_series/view/charivnij-svit; children_series/view/create-play
children_size                                      |    0.4%  | str             | 100х140 мм; 215х420 мм; 300x420 мм
children_size_label                                |    0.4%  | list            | 
children_size_label[].attribute_label              |    0.4%  | str             | Размер товара
children_size_label[].label                        |    0.4%  | str             | 100х140 мм; 215х420 мм; 300x420 мм
children_weight                                    |    0.1%  | float, int      | 100; 110; 110
children_weight_label                              |    0.1%  | list            | 
children_weight_label[].attribute_label            |    0.1%  | str             | Вес
children_weight_label[].label                      |    0.1%  | float, int      | 100; 110; 110
colored                                            |    0.3%  | int             | 0; 0; 0
created_at                                         |  100.0%  | str             | 2025-10-15 07:22:06; 2025-09-24 12:46:18; 2025-09-24 12:35:46
custom_options                                     |    0.0%  | list            | 
custom_options[].image_size_x                      |    0.0%  | str             | 0
custom_options[].image_size_y                      |    0.0%  | str             | 0
custom_options[].is_require                        |    0.0%  | bool            | True; True; False
custom_options[].max_characters                    |    0.0%  | str             | 0; 500
custom_options[].option_id                         |    0.0%  | int             | 24; 25; 26
custom_options[].price                             |    0.0%  | int             | 0; 0; 0
custom_options[].price_type                        |    0.0%  | str, null       | fixed
custom_options[].sku                               |    0.0%  | str             | recipient_email; recipient_name; recipient_description
custom_options[].sort_order                        |    0.0%  | int             | 5; 26; 15
custom_options[].title                             |    0.0%  | str             | Denomination(do_not_change); E_mail(do_not_change); Name(do_not_change)
custom_options[].type                              |    0.0%  | str             | radio; field; area
custom_options[].values                            |    0.0%  | list            | 
custom_options[].values[].option_type_id           |    0.0%  | int             | 45; 46; 47
custom_options[].values[].price                    |    0.0%  | int             | 159; 459; 1559
custom_options[].values[].price_type               |    0.0%  | str             | fixed
custom_options[].values[].sku                      |    0.0%  | str             | 1m; 3m; 1y
custom_options[].values[].sort_order               |    0.0%  | int             | 0; 1; 2
custom_options[].values[].title                    |    0.0%  | str             | 1 міс; 3 міс; 1 рік
default_category                                   |  100.0%  | list            | 
description                                        |   88.5%  | str             | <p>У навчальному посібнику розкрито суть, катег...; <p>Discover the methods and techniques required...; <p><b>An engaging and accessible presentation o...
discount_percent                                   |  100.0%  | int             | 0; 0; 0
downloadable_product_format                        |    1.6%  | list            | 
downloadable_product_samples                       |    0.1%  | list            | 
downloadable_product_samples[].default_title       |    0.1%  | str             | Слухати уривок; Sample; Слушать отрывок
downloadable_product_samples[].id                  |    0.1%  | str             | 527851; 524214; 524213
downloadable_product_samples[].product_id          |    0.1%  | str             | 2381209; 2346403; 2346402
downloadable_product_samples[].sample_file         |    0.1%  | str             | https://www.yakaboo.ua/ua/downloadable/download...; https://magento.yakaboo.ua/admin/downloadable/d...; https://www.yakaboo.ua/ua/downloadable/download...
downloadable_product_samples[].sample_type         |    0.1%  | str             | file
downloadable_product_samples[].sample_url          |    0.1%  | null            | 
downloadable_product_samples[].sort_order          |    0.1%  | str             | 1; 0
downloadable_product_samples[].store_title         |    0.1%  | null            | 
downloadable_product_samples[].title               |    0.1%  | str             | Слухати уривок; Sample; Слушать отрывок
film_name_en                                       |    1.5%  | str             | Quantum Supremacy: How the Quantum Computer Rev...; Next Generation Internet; Life After Google: The Fall of Big Data and the...
film_name_en_label                                 |    1.5%  | list            | 
film_name_en_label[].attribute_label               |    1.5%  | str             | Оригинальное название
film_name_en_label[].label                         |    1.5%  | str             | Quantum Supremacy: How the Quantum Computer Rev...; Next Generation Internet; Life After Google: The Fall of Big Data and the...
filterable_category_ids                            |   98.4%  | list            | 
final_price                                        |  100.0%  | int             | 303; 4158; 1891
final_price_incl_tax                               |   99.6%  | int             | 303; 4158; 1891
final_price_tax                                    |   99.6%  | int             | 0; 0; 0
for_filter_is_in_stock                             |   34.7%  | list            | 
free_shipping                                      |  100.0%  | int             | 0; 1; 1
gift_article                                       |    0.8%  | str             | orner-1357; orner-1744; orner-1743
gift_article_label                                 |    0.8%  | list            | 
gift_article_label[].attribute_label               |    0.8%  | str             | Артикул
gift_article_label[].label                         |    0.8%  | str             | orner-1357; orner-1744; orner-1743
gift_brand                                         |    0.8%  | list            | 
gift_brand_label                                   |    0.8%  | list            | 
gift_brand_label[].attribute_id                    |    0.8%  | str             | 4303
gift_brand_label[].attribute_label                 |    0.8%  | str             | Бренд
gift_brand_label[].label                           |    0.8%  | str             | Orner; Kiri sketch; Fun Games Shop
gift_brand_label[].option_code                     |    0.8%  | str             | Orner_Store; kiri; fun-games-shop
gift_brand_label[].option_id                       |    0.8%  | str             | 868433; 885404; 900659
gift_brand_label[].sort_order                      |    0.8%  | str             | 100; 0
gift_brand_label[].url_path                        |    0.8%  | str             | gift_brand/view/Orner_Store; gift_brand/view/kiri; gift_brand/view/fun-games-shop
gift_color                                         |    0.8%  | list            | 
gift_color_label                                   |    0.8%  | list            | 
gift_color_label[].attribute_id                    |    0.9%  | str             | 3476
gift_color_label[].attribute_label                 |    0.9%  | str             | Цвет
gift_color_label[].label                           |    0.9%  | str             | Мультицвет; Крафт; Желтый
gift_color_label[].option_code                     |    0.9%  | str             | Mul_ticvet; Kraft; Zheltyj
gift_color_label[].option_id                       |    0.9%  | str             | 714027; 712482; 712287
gift_color_label[].sort_order                      |    0.9%  | str             | 100
gift_color_label[].url_path                        |    0.9%  | null            | 
gift_color_pages                                   |    0.2%  | list            | 
gift_color_pages_label                             |    0.2%  | list            | 
gift_color_pages_label[].attribute_id              |    0.2%  | str             | 3551
gift_color_pages_label[].attribute_label           |    0.2%  | str             | Цвет страниц
gift_color_pages_label[].label                     |    0.2%  | str             | Кремовый; Белый; Черный
gift_color_pages_label[].option_code               |    0.2%  | str             | Kremovyj; Belyj; Chernyj
gift_color_pages_label[].option_id                 |    0.2%  | str             | 714498; 714495; 714496
gift_color_pages_label[].sort_order                |    0.2%  | str             | 100
gift_color_pages_label[].url_path                  |    0.2%  | null            | 
gift_event                                         |    0.2%  | list            | 
gift_event_label                                   |    0.2%  | list            | 
gift_event_label[].attribute_id                    |    0.2%  | str             | 4113
gift_event_label[].attribute_label                 |    0.2%  | str             | Событие
gift_event_label[].label                           |    0.2%  | str             | День рождения; Другое; День отца и День защитника Украины
gift_event_label[].option_code                     |    0.2%  | str             | Den_rozhdenija; Drugoe; Den_otca_i_Den_zaschitnika_Ukrainy
gift_event_label[].option_id                       |    0.2%  | str             | 772133; 772142; 772136
gift_event_label[].sort_order                      |    0.2%  | str             | 100
gift_event_label[].url_path                        |    0.2%  | null            | 
gift_material                                      |    0.7%  | list            | 
gift_organiser                                     |    0.2%  | list            | 
gift_organiser_label                               |    0.2%  | list            | 
gift_organiser_label[].attribute_id                |    0.2%  | str             | 3550
gift_organiser_label[].attribute_label             |    0.2%  | str             | Тип
gift_organiser_label[].label                       |    0.2%  | str             | Тематический; Универсальный; Недатированный
gift_organiser_label[].option_code                 |    0.2%  | str             | Tematicheskij_bloknot_zapisnaja_knizhka; Universal_nyj_bloknot_zapisnaja_knizhka; Nedatirovannyj
gift_organiser_label[].option_id                   |    0.2%  | str             | 772067; 772068; 772054
gift_organiser_label[].sort_order                  |    0.2%  | str             | 100; 4; 2
gift_organiser_label[].url_path                    |    0.2%  | null            | 
gift_packing                                       |    0.3%  | str             | Коробка; 250х160 мм; Банка
gift_packing_label                                 |    0.3%  | list            | 
gift_packing_label[].attribute_label               |    0.3%  | str             | Упаковка
gift_packing_label[].label                         |    0.3%  | str             | Коробка; 250х160 мм; Банка
gift_packing_size                                  |    0.0%  | str             | 25х16х6 см; 250х160х60 мм; 150х120х36 мм
gift_packing_size_label                            |    0.0%  | list            | 
gift_packing_size_label[].attribute_label          |    0.0%  | str             | Размер упаковки
gift_packing_size_label[].label                    |    0.0%  | str             | 25х16х6 см; 250х160х60 мм; 150х120х36 мм
gift_series                                        |    0.4%  | list            | 
gift_series_label                                  |    0.4%  | list            | 
gift_series_label[].attribute_id                   |    0.5%  | str             | 3491
gift_series_label[].attribute_label                |    0.5%  | str             | Серия
gift_series_label[].label                          |    0.5%  | str             | Замок із кришталю; Абетка. Навчальні матеріали; Dream&Do Talks
gift_series_label[].option_code                    |    0.5%  | str             | zamok-iz-krishtalju; abetka-navchal-ni-materiali; Dream_Do
gift_series_label[].option_id                      |    0.5%  | str             | 909355; 906613; 876293
gift_series_label[].sort_order                     |    0.5%  | str             | 0; 100
gift_series_label[].url_path                       |    0.5%  | str             | gift_series/view/zamok-iz-krishtalju; gift_series/view/abetka-navchal-ni-materiali; gift_series/view/dream-do
gift_size                                          |    0.7%  | str             | 470х320 мм; 250х160 мм; 150х210 мм
gift_size_label                                    |    0.7%  | list            | 
gift_size_label[].attribute_label                  |    0.7%  | str             | Размер товара
gift_size_label[].label                            |    0.7%  | str             | 470х320 мм; 250х160 мм; 150х210 мм
gift_subjects                                      |    0.1%  | list            | 
gift_subjects_label                                |    0.1%  | list            | 
gift_subjects_label[].attribute_id                 |    0.2%  | str             | 4114
gift_subjects_label[].attribute_label              |    0.2%  | str             | Тематика
gift_subjects_label[].label                        |    0.2%  | str             | Кино; Игры; Религия, вера
gift_subjects_label[].option_code                  |    0.2%  | str             | Kino; Igry; Religija_vera
gift_subjects_label[].option_id                    |    0.2%  | str             | 772143; 772146; 772159
gift_subjects_label[].sort_order                   |    0.2%  | str             | 100
gift_subjects_label[].url_path                     |    0.2%  | null            | 
gift_type                                          |    0.1%  | list            | 
gift_weight                                        |    0.1%  | str             | 55; 210; 230
gift_weight_label                                  |    0.1%  | list            | 
gift_weight_label[].attribute_label                |    0.1%  | str             | Вес
gift_weight_label[].label                          |    0.1%  | str             | 55; 210; 230
h1                                                 |  100.0%  | str             | Книга Моделювання інформаційних процесів; Книга Immersive 3D Design Visualization: With A...; Книга The Joy of Quantum Computing: A Concise I...
id                                                 |  100.0%  | int             | 3394631; 3387355; 3387073
image                                              |  100.0%  | str             | /1/3/13370.1800x1800w.png; /9/7/9781484265963_0.jpg; /9/7/9780691264486_0.jpg
image_cover_effect                                 |    0.6%  | int             | 1; 0; 0
is_certificate                                     |    0.0%  | bool            | True; True; True
is_exclusive                                       |    0.0%  | bool            | True
is_top_sale                                        |   34.1%  | bool            | False; False; True
is_top_sale_count                                  |    1.1%  | int             | 13; 66; 42
keywords                                           |   70.1%  | str             | Інформаційні системи, навчальний посібник; Visualization;Design;3D;Autodesk Maya;Texturing...; Qubit; Quantum; Gate; Measurement; Basis; Resul...
marketplace_id                                     |   22.5%  | str             | yakaboo
media_gallery                                      |   99.5%  | list            | 
media_gallery[].image                              |  139.5%  | str             | /1/3/13370.1800x1800w.png; /9/7/9781484265963_0.jpg; /9/7/9780691264486_0.jpg
media_gallery[].lab                                |  139.5%  | str             | ; photo; 1
media_gallery[].pos                                |  139.5%  | int             | 1; 0; 0
media_gallery[].typ                                |  139.5%  | str             | image
media_gallery_pdf                                  |    0.5%  | str             | /v/a/vakansiya_liudyna_extract.pdf; /3/3/336379_77711874.pdf; /o/d/odissea_extract.pdf
mediagallery_image                                 |   12.4%  | list            | 
mediagallery_image[].entity_id                     |  111.1%  | str             | 3394631; 3353361; 2616627
mediagallery_image[].file                          |  111.1%  | str             | /1/3/13370-01_c95asqod9i.jpg; /1/3/13370-02_64fzcxarol.jpg; /1/3/13370-03_kynloff0jr.jpg
mediagallery_image[].image_url                     |  111.1%  | str             | https://static.yakaboo.ua/media/mediagallery/im...; https://static.yakaboo.ua/media/mediagallery/im...; https://static.yakaboo.ua/media/mediagallery/im...
mediagallery_image[].sort_order                    |  111.1%  | str             | 0; 1; 2
mediagallery_video                                 |    0.1%  | list            | 
mediagallery_video[].entity_id                     |    0.1%  | str             | 2293146; 2201306; 1760632
mediagallery_video[].image_url                     |    0.1%  | str             | https://static.yakaboo.ua/media/mediagallery/im...; https://static.yakaboo.ua/media/mediagallery/im...; https://static.yakaboo.ua/media/mediagallery/im...
mediagallery_video[].mp4_url                       |    0.1%  | str             | https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...
mediagallery_video[].ogv_url                       |    0.0%  | str             | https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...
mediagallery_video[].origin_video_url              |    0.1%  | str             | https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...
mediagallery_video[].sort_order                    |    0.1%  | str             | 0; 1; 2
mediagallery_video[].thumbnail                     |    0.1%  | str             | /f/6/f6630768d7_1.jpg; /5/9/59fe0efe44_1.jpg; /a/e/aea92dde44_1.jpg
mediagallery_video[].webm_url                      |    0.0%  | str             | https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...; https://static.yakaboo.ua/media/mediagallery/vi...
meta_description                                   |   98.6%  | str             | ᐉ Купить книгу «Моделювання інформаційних проце...; ᐉ Купить книгу «Immersive 3D Design Visualizati...; ᐉ Купить книгу «The Joy of Quantum Computing: A...
meta_keyword                                       |    2.5%  | str             | {{product.name}}, купить книгу, Украина, Киев; Джералдова гра; Брехливе життя дорослих
meta_title                                         |   98.6%  | str             | Книга «Моделювання інформаційних процесів» – В....; Книга «Immersive 3D Design Visualization: With ...; Книга «The Joy of Quantum Computing: A Concise ...
mobile_subscribe                                   |   98.8%  | int             | 0; 0; 0
name                                               |  100.0%  | str             | Моделювання інформаційних процесів; Immersive 3D Design Visualization: With Autodes...; The Joy of Quantum Computing: A Concise Introdu...
notebook_format                                    |    0.1%  | list            | 
notebook_format_label                              |    0.1%  | list            | 
notebook_format_label[].attribute_id               |    0.1%  | str             | 4104
notebook_format_label[].attribute_label            |    0.1%  | str             | Формат
notebook_format_label[].label                      |    0.1%  | str             | А5; А4; А6
notebook_format_label[].option_code                |    0.1%  | str             | A5; A4; A6_105h150_mm_
notebook_format_label[].option_id                  |    0.1%  | str             | 772059; 772060; 772081
notebook_format_label[].sort_order                 |    0.1%  | str             | 100
notebook_format_label[].url_path                   |    0.1%  | null            | 
notebook_sheets                                    |    0.2%  | list            | 
notebook_sheets_label                              |    0.2%  | list            | 
notebook_sheets_label[].attribute_id               |    0.2%  | str             | 4105
notebook_sheets_label[].attribute_label            |    0.2%  | str             | Листы
notebook_sheets_label[].label                      |    0.2%  | str             | Чистые; Цветные; Клетка
notebook_sheets_label[].option_code                |    0.2%  | str             | Chistye; Cvetnye; Kletka
notebook_sheets_label[].option_id                  |    0.2%  | str             | 772065; 772115; 772063
notebook_sheets_label[].sort_order                 |    0.2%  | str             | 100
notebook_sheets_label[].url_path                   |    0.2%  | null            | 
notebook_size                                      |    0.2%  | list            | 
notebook_size_label                                |    0.2%  | list            | 
notebook_size_label[].attribute_id                 |    0.2%  | str             | 4103
notebook_size_label[].attribute_label              |    0.2%  | str             | Размер
notebook_size_label[].label                        |    0.2%  | str             | Средний; Большой; Карманный
notebook_size_label[].option_code                  |    0.2%  | str             | Srednij; Bol_shoj; Karmannyj
notebook_size_label[].option_id                    |    0.2%  | str             | 772057; 772058; 772056
notebook_size_label[].sort_order                   |    0.2%  | str             | 100
notebook_size_label[].url_path                     |    0.2%  | null            | 
notebooks_cover                                    |    0.2%  | list            | 
notebooks_cover_label                              |    0.2%  | list            | 
notebooks_cover_label[].attribute_id               |    0.2%  | str             | 4102
notebooks_cover_label[].attribute_label            |    0.2%  | str             | Обложка
notebooks_cover_label[].label                      |    0.2%  | str             | Твердая; На кольцах; Гибкая
notebooks_cover_label[].option_code                |    0.2%  | str             | Tverdaja; Na_kol_cah_Na_spirali; Gibkaja
notebooks_cover_label[].option_id                  |    0.2%  | str             | 772049; 772051; 772050
notebooks_cover_label[].sort_order                 |    0.2%  | str             | 100
notebooks_cover_label[].url_path                   |    0.2%  | null            | 
only_mobile                                        |    1.6%  | int             | 0; 0; 0
original_final_price                               |   99.6%  | int             | 303; 4158; 1891
original_price                                     |  100.0%  | int, null       | 303; 4158; 1891
original_price_incl_tax                            |  100.0%  | int, null       | 303; 4158; 1891
original_price_tax                                 |  100.0%  | int, null       | 0; 0; 0
original_special_price                             |    1.6%  | int             | 446; 765; 551
payment_methods                                    |  100.0%  | list            | 
payment_methods[].code                             |  695.3%  | str             | liqpaysecond; liqpay; liqpaythird
payment_methods[].title                            |  695.3%  | str             | Оплата картою Зимова єПідтримка/Національний ке...; Оплата карткою On-line або карткою "Пакунок шко...; Оплата карткою "ДІЯ єКнига (виплата на 18-ліття...
pen_housing                                        |    0.1%  | list            | 
pen_housing_label                                  |    0.1%  | list            | 
pen_housing_label[].attribute_id                   |    0.1%  | str             | 4109
pen_housing_label[].attribute_label                |    0.1%  | str             | Материал корпуса
pen_housing_label[].label                          |    0.1%  | str             | Алюминий; Сталь; Пластик
pen_housing_label[].option_code                    |    0.1%  | str             | Aljuminij; Stal_; Plastik
pen_housing_label[].option_id                      |    0.1%  | str             | 772254; 772259; 772257
pen_housing_label[].sort_order                     |    0.1%  | str             | 100
pen_housing_label[].url_path                       |    0.1%  | null            | 
pen_ink                                            |    0.1%  | list            | 
pen_ink_label                                      |    0.1%  | list            | 
pen_ink_label[].attribute_id                       |    0.1%  | str             | 4111
pen_ink_label[].attribute_label                    |    0.1%  | str             | Цвет чернил
pen_ink_label[].label                              |    0.1%  | str             | Синий; Черный
pen_ink_label[].option_code                        |    0.1%  | str             | Sinij; Chernyj
pen_ink_label[].option_id                          |    0.1%  | str             | 772264; 772265
pen_ink_label[].sort_order                         |    0.1%  | str             | 2; 1
pen_ink_label[].url_path                           |    0.1%  | null            | 
pen_thickness                                      |    0.0%  | list            | 
pen_thickness_label                                |    0.0%  | list            | 
pen_thickness_label[].attribute_id                 |    0.0%  | str             | 4110
pen_thickness_label[].attribute_label              |    0.0%  | str             | Толщина письма
pen_thickness_label[].label                        |    0.0%  | str             | 0,5 мм; 1,0 мм; 0,7 мм
pen_thickness_label[].option_code                  |    0.0%  | str             | 0_5_mm; 1_0_mm; 0_7_mm
pen_thickness_label[].option_id                    |    0.0%  | str             | 772293; 772295; 772294
pen_thickness_label[].sort_order                   |    0.0%  | str             | 100
pen_thickness_label[].url_path                     |    0.0%  | null            | 
pen_type                                           |    0.1%  | list            | 
pen_type_label                                     |    0.1%  | list            | 
pen_type_label[].attribute_id                      |    0.1%  | str             | 4108
pen_type_label[].attribute_label                   |    0.1%  | str             | Тип
pen_type_label[].label                             |    0.1%  | str             | Карандаш; Набор; Чернила, стержни
pen_type_label[].option_code                       |    0.1%  | str             | Karandash; Nabor; Chernila_sterzhni
pen_type_label[].option_id                         |    0.1%  | str             | 772086; 772087; 772088
pen_type_label[].sort_order                        |    0.1%  | str             | 100
pen_type_label[].url_path                          |    0.1%  | null            | 
price                                              |  100.0%  | int, null       | 303; 4158; 1891
price_incl_tax                                     |  100.0%  | int, null       | 303; 4158; 1891
price_tax                                          |  100.0%  | int             | 0; 0; 0
product_links                                      |  100.0%  | list            | 
product_links[].link_type                          |    0.0%  | str             | related
product_links[].linked_product_sku                 |    0.0%  | str             | 1422246; 1121624
product_links[].linked_product_type                |    0.0%  | str             | downloadable; simple
product_links[].position                           |    0.0%  | int             | 1; 1
product_links[].sku                                |    0.0%  | str             | 1422316; 1426101
promotion_ids                                      |  100.0%  | list            | 
promotion_ids_visible                              |  100.0%  | list            | 
promotion_promo_type                               |    5.7%  | str             | 4; 1; 2
promotions                                         |    5.7%  | list            | 
promotions[].background                            |   15.4%  | null            | 
promotions[].color                                 |   15.4%  | null            | 
promotions[].name                                  |   15.4%  | null            | 
promotions[].sort                                  |   15.4%  | int             | 0; 0; 0
promotions[].url_key                               |   15.4%  | str             | zamovlennja-eknigi-na-yakaboo-z-bezplatnoju-dos...; do-65-na-knizhkovi-podarunki-do-svjat.html; zamovlennja-eknigi-na-yakaboo-z-bezplatnoju-dos...
published_at                                       |   55.8%  | str             | 2025-10-16 00:00:00; 2025-09-24 00:00:00; 2025-09-19 00:00:00
quote                                              |   12.7%  | str             | {{DELIMETER}}; Phaidon seems to have pulled off the rare trick...; Hugely absorbing. . . the best Strike novel yet...
regular_price                                      |  100.0%  | int             | 303; 4158; 1891
reviews                                            |    2.6%  | dict            | 
reviews.rating_summary                             |    2.6%  | str             | 0; 60; 100
reviews.reviews_count                              |    2.6%  | str             | 0; 1; 2
reward_bonus                                       |  100.0%  | list, dict      | 
reward_bonus.0                                     |    5.7%  | dict            | 
reward_bonus.0.customer_group_id                   |    5.7%  | int             | 0; 0; 0
reward_bonus.0.is_extra_bonus                      |    5.7%  | int             | 0; 0; 0
reward_bonus.0.percent                             |    5.7%  | int             | 50; 50; 50
reward_bonus.1                                     |    5.7%  | dict            | 
reward_bonus.1.customer_group_id                   |    5.7%  | int             | 1; 1; 1
reward_bonus.1.is_extra_bonus                      |    5.7%  | int             | 0; 0; 0
reward_bonus.1.percent                             |    5.7%  | int             | 50; 50; 50
reward_bonus.102                                   |    0.0%  | dict            | 
reward_bonus.102.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.102.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.102.sector_id                         |    0.0%  | int             | 102; 102; 102
reward_bonus.103                                   |    0.0%  | dict            | 
reward_bonus.103.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.103.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.103.sector_id                         |    0.0%  | int             | 103; 103; 103
reward_bonus.113                                   |    0.2%  | dict            | 
reward_bonus.113.is_extra_bonus                    |    0.2%  | int             | 0; 0; 0
reward_bonus.113.percent                           |    0.2%  | int             | 100; 100; 100
reward_bonus.113.sector_id                         |    0.2%  | int             | 113; 113; 113
reward_bonus.114                                   |    0.2%  | dict            | 
reward_bonus.114.is_extra_bonus                    |    0.2%  | int             | 0; 0; 0
reward_bonus.114.percent                           |    0.2%  | int             | 100; 100; 100
reward_bonus.114.sector_id                         |    0.2%  | int             | 114; 114; 114
reward_bonus.115                                   |    2.3%  | dict            | 
reward_bonus.115.is_extra_bonus                    |    2.3%  | int             | 0; 0; 0
reward_bonus.115.percent                           |    2.3%  | int             | 100; 100; 100
reward_bonus.115.sector_id                         |    2.3%  | int             | 115; 115; 115
reward_bonus.116                                   |    2.3%  | dict            | 
reward_bonus.116.is_extra_bonus                    |    2.3%  | int             | 0; 0; 0
reward_bonus.116.percent                           |    2.3%  | int             | 100; 100; 100
reward_bonus.116.sector_id                         |    2.3%  | int             | 116; 116; 116
reward_bonus.117                                   |    0.0%  | dict            | 
reward_bonus.117.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.117.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.117.sector_id                         |    0.0%  | int             | 117; 117; 117
reward_bonus.118                                   |    0.0%  | dict            | 
reward_bonus.118.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.118.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.118.sector_id                         |    0.0%  | int             | 118; 118; 118
reward_bonus.119                                   |    0.0%  | dict            | 
reward_bonus.119.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.119.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.119.sector_id                         |    0.0%  | int             | 119; 119; 119
reward_bonus.120                                   |    0.0%  | dict            | 
reward_bonus.120.is_extra_bonus                    |    0.0%  | int             | 0; 0; 0
reward_bonus.120.percent                           |    0.0%  | int             | 100; 100; 100
reward_bonus.120.sector_id                         |    0.0%  | int             | 120; 120; 120
reward_bonus.121                                   |    0.1%  | dict            | 
reward_bonus.121.is_extra_bonus                    |    0.1%  | int             | 0; 0; 0
reward_bonus.121.percent                           |    0.1%  | int             | 100; 100; 100
reward_bonus.121.sector_id                         |    0.1%  | int             | 121; 121; 121
reward_bonus.19                                    |    0.1%  | dict            | 
reward_bonus.19.is_extra_bonus                     |    0.1%  | int             | 0; 0; 0
reward_bonus.19.percent                            |    0.1%  | int             | 100; 100; 100
reward_bonus.19.sector_id                          |    0.1%  | int             | 19; 19; 19
reward_bonus.2                                     |    0.0%  | dict            | 
reward_bonus.2.is_extra_bonus                      |    0.0%  | int             | 0; 0; 0
reward_bonus.2.percent                             |    0.0%  | int             | 100; 100; 100
reward_bonus.2.sector_id                           |    0.0%  | int             | 2; 2; 2
reward_bonus.25                                    |    0.0%  | dict            | 
reward_bonus.25.is_extra_bonus                     |    0.0%  | int             | 0; 0; 0
reward_bonus.25.percent                            |    0.0%  | int             | 100; 100; 100
reward_bonus.25.sector_id                          |    0.0%  | int             | 25; 25; 25
reward_bonus.38                                    |    0.1%  | dict            | 
reward_bonus.38.is_extra_bonus                     |    0.1%  | int             | 0; 0; 0
reward_bonus.38.percent                            |    0.1%  | int             | 100; 100; 100
reward_bonus.38.sector_id                          |    0.1%  | int             | 38; 38; 38
reward_bonus.40                                    |    0.0%  | dict            | 
reward_bonus.40.is_extra_bonus                     |    0.0%  | int             | 0; 0; 0
